Last 365 - Daily (Solar)
Time,Value,Solar Radiation
8/25,621.0625,288.4723719896541
8/26,612.8515625,286.36259954562405
8/27,308.34375,125.99210235240751
8/28,621.9375,292.7465980980132
8/29,633.3203125,294.9249463859532
8/30,632.3359375,294.4881753129865
8/31,630.375,287.52315037035277
9/1,630.265625,283.09303887446
9/2,625.046875,283.7182648624811
9/3,302.0078125,280.7628298091392
9/4,0,251.3550666497192
9/5,0,262.5962470940398
9/6,0,275.02480599337684
9/7,0,217.6540356901112
9/8,0,212.22132643744405
9/9,0,233.37481012671356
9/10,0,211.7105146297512
9/11,0,127.93901109525336
9/12,0,96.22931622694699
9/16,269.9453125,256.93615794016256
9/17,585.4296875,249.9736814498901
9/18,579.6328125,249.59596859746503
9/19,555.9453125,247.78563275580828
9/20,561.921875,249.56686592385017
9/21,549.1484375,240.72732224232615
9/22,437.4640958625969,459.15064123099506
9/23,527.7312166374031,234.62841198855153
9/24,430.34375,177.39582058373423
9/25,292.296875,115.04291953601773
9/26,554.640625,238.1313559984849
9/27,532.234375,233.68518990857729
9/28,520.8828125,230.04918166001633
9/29,476.0078125,207.40686154365537
9/30,451.0546875,188.4795451089998
10/1,554.3828125,231.4131873134498
10/2,320.265625,119.66903730233535
10/3,518.0078125,204.48448253257405
10/4,415.3515625,160.2774168000453
10/5,488.3125,173.79758581719295
10/6,364.4453125,144.43474664026874
10/7,508.6640625,202.3570778369906
10/8,542.3125,216.8124481183714
