stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1615,"5TH/BELL",,           ,           ,,,,,,
162,"MAE ANNE/(RIDGEVIEW PLAZA)",,  39.521439,-119.716133,,,,,,
1622,"S. VIRGINIA/SIERRA CENTER PKWY",,           ,           ,,,,,,
1623,"S. VIRGINIA/(Sierra Center)",,           ,           ,,,,,,
1627,"KIETZKE/PLUMB",,           ,           ,,,,,,
1628,"LAKE/MILL (Auto museum)",,           ,           ,,,,,,
1629,"6TH / RECORD",,           ,           ,,,,,,
163,"McCARRAN/7TH",,  39.539230,-119.711029,,,,,,
1630,"MCCARRAN / KIETZKE",,           ,           ,,,,,,
1631,"S. VIRGINIA/NEIL",,           ,           ,,,,,,
1632,"S. VIRGINIA/HUFFAKER LANE",,           ,           ,,,,,,
1633,"S. VIRGINIA/PATRIOT",,           ,           ,,,,,,
1634,"S. VIRGINIA/(Sierra RV)",,           ,           ,,,,,,
1636,"S. MEADOWS PRKWAY/S. VIRGINIA",,           ,           ,,,,,,
1637,"S. MEADOWS PRKWAY/GATEWAY",,           ,           ,,,,,,
1638,"DOUBLE R/RENOWN",,           ,           ,,,,,,
1639,"DOUBLE R/PROFESSIONAL CIRCLE",,           ,           ,,,,,,
164,"McCARRAN/KING'S ROW",,  39.535606,-119.711029,,,,,,
1640,"DOUBLE R/PROFESSIONAL CIRCLE",,           ,           ,,,,,,
1641,"DOUBLE R/(Dentistry Kids)",,           ,           ,,,,,,
1642,"DOUBLE R/(Legacy Wealth)",,           ,           ,,,,,,
1643,"DOUBLE R/DOUBLE DIAMOND PRKWY",,           ,           ,,,,,,
1644,"DAMONTE RANCH/HWY 395",,           ,           ,,,,,,
1645,"S. VIRGINIA/DAMONTE RANCH",,           ,           ,,,,,,
1646,"S. VIRGINIA/(Winco Entrance)",,           ,           ,,,,,,
1647,"S. VIRGINIA/PATRIOT",,           ,           ,,,,,,
1648,"S. VIRGINIA/LONGLEY",,           ,           ,,,,,,
165,"7TH/NANCY",,  39.529625,-119.823540,,,,,,
1650,"CAMPUS WAY/(Sierra Pacific)",,           ,           ,,,,,,
1651,"SIERRA CENTER/CAMPUS WAY",,           ,           ,,,,,,
1652,"SIERRA CENTER/(Sierra Town Center",,           ,           ,,,,,,
1653,"SIERRA CENTER/MAESTRO",,           ,           ,,,,,,
1654,"SIERRA CENTER/PATRIOT",,           ,           ,,,,,,
1655,"SIERRA CENTER/LONGLEY",,           ,           ,,,,,,
1656,"SIERRA CENTER/PATRIOT",,           ,           ,,,,,,
1657,"SIERRA CENTER/MAESTRO",,           ,           ,,,,,,
1658,"SIERRA CENTER/(Intuit Entrance)",,           ,           ,,,,,,
